log_id,tender_id,module_name,workflow_execution_id,status,started_at,completed_at,duration_seconds,output_data,error_message,tracking_id,stage,message,error_details
39,3,,,completed,2025-11-20 09:34:08.854656,2025-11-20 01:34:19.800658,11,,,3aa8b8fa-3211-4c90-8e28-b6644bacf8ac,document_processing,"Successfully processed 4 pages, 1 chunks",
40,3,,,completed,2025-11-20 09:34:21.900703,2025-11-20 01:35:06.556562,45,,,9d58e1a3-7ae3-4d21-965a-8c6565af8648,document_processing,"Successfully processed 12 pages, 6 chunks",
41,3,,,completed,2025-11-20 09:35:08.069037,2025-11-20 01:35:40.432263,32,,,a6913b4a-d9ca-4c19-a717-44f0338fd492,document_processing,"Successfully processed 7 pages, 3 chunks",
42,3,,,completed,2025-11-20 09:35:41.927882,2025-11-20 01:35:55.947541,14,,,bf7b64af-3f38-433b-af10-560233e2cea3,document_processing,"Successfully processed 5 pages, 1 chunks",
43,3,,,completed,2025-11-20 09:35:57.745867,2025-11-20 01:36:06.449637,9,,,25ded16a-651e-4965-aa45-71d7f0d21ec7,document_processing,"Successfully processed 3 pages, 1 chunks",
44,3,,,failed,2025-11-20 09:36:08.756879,2025-11-20 01:36:13.412335,,,,ba555823-eb9f-426b-9d1d-5eca8f0355ae,document_processing,,"Traceback (most recent call last):
  File ""C:\Users\remya\Desktop\DocumentParser_Hackathon\dcf.py"", line 1188, in process_tender_document
    cur.execute(""""""
psycopg2.errors.InvalidDatetimeFormat: invalid input syntax for type timestamp: ""1 October 2025 1500 hrs SGT""
LINE 4: ...                   submission_deadline = COALESCE('1 October...
                                                             ^

"
45,3,,,completed,2025-11-20 09:36:15.505232,2025-11-20 01:36:24.405978,9,,,1dc1dc5a-73ca-4f65-8e94-a0f5e9f04aef,document_processing,"Successfully processed 3 pages, 1 chunks",
46,3,,,completed,2025-11-20 09:36:26.564470,2025-11-20 01:36:55.697542,29,,,76120b92-c27b-4081-8de0-39c85ae3d97a,document_processing,"Successfully processed 5 pages, 2 chunks",
47,3,,,completed,2025-11-20 09:36:57.816046,2025-11-20 01:38:36.907713,99,,,28e08f2d-9aa9-4bcf-b094-d9a51293e2c3,document_processing,"Successfully processed 28 pages, 14 chunks",
48,3,,,completed,2025-11-20 09:38:39.627354,2025-11-20 02:05:37.022967,1617,,,79199262-1f09-4311-9a00-ee0c828bca7f,document_processing,"Successfully processed 5 pages, 2 chunks",
49,3,,,completed,2025-11-20 10:05:38.822020,2025-11-20 02:06:11.286898,32,,,667a9dfe-52ae-4f57-aea6-27d89cafad65,document_processing,"Successfully processed 6 pages, 2 chunks",
50,3,,,completed,2025-11-20 10:06:13.048333,2025-11-20 02:06:22.839303,10,,,cc441640-1d8d-4314-b83d-8713e87f7c10,document_processing,"Successfully processed 3 pages, 1 chunks",
51,3,,,completed,2025-11-20 10:06:24.495813,2025-11-20 02:07:03.329812,39,,,7a17ae57-66f6-4dd8-9a8e-54f89b3b6b5b,document_processing,"Successfully processed 11 pages, 3 chunks",
